Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1400     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::allocate(std::allocator<std::complex<double> >&, unsigned long)
  0.00      0.00     0.00     1400     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector()
  0.00      0.00     0.00     1399     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double>* const&)
  0.00      0.00     0.00     1273     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::_Vector_impl(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1273     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00     1272     0.00     0.00  std::allocator<std::complex<double> >::allocator()
  0.00      0.00     0.00     1272     0.00     0.00  std::__new_allocator<std::complex<double> >::__new_allocator()
  0.00      0.00     0.00     1272     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_check_init_len(unsigned long, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1024     0.00     0.00  random_array(unsigned long)::{lambda()#1}::operator()() const
  0.00      0.00     0.00     1019     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     1019     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_base(unsigned long, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1018     0.00     0.00  std::complex<double>* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::complex<double>*, unsigned long>(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     1018     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_default_initialize(unsigned long)
  0.00      0.00     0.00     1018     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::vector(unsigned long, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1018     0.00     0.00  std::complex<double>* std::__uninitialized_default_n<std::complex<double>*, unsigned long>(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     1018     0.00     0.00  std::complex<double>* std::__uninitialized_default_n_a<std::complex<double>*, unsigned long, std::complex<double> >(std::complex<double>*, unsigned long, std::allocator<std::complex<double> >&)
  0.00      0.00     0.00      890     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::begin()
  0.00      0.00     0.00      762     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator+(long) const
  0.00      0.00     0.00      639     0.00     0.00  std::is_constant_evaluated()
  0.00      0.00     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
